content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,review_without_stopwords
"tidak pernah berhasil melakukan registrasi, berulang kali password salah dan terblokir, reset password hanya muncul logo berputar2, hubungi cs diminta ulangi setelah 7 hari, dan ini sudah 7 hari ke 3 kalinya....🤦",1,0.0,0.0,Negative,"berhasil registrasi, berulang kali password salah terblokir, reset password muncul logo berputar2, hubungi cs ulangi 7 hari, 7 3 kalinya....🤦"
mengapa aplikasi blu tiba-tiba tidak bisa login di redmi note 8 pro?,3,0.0,0.0,Neutral,aplikasi blu login redmi note 8 pro?
"saya sudah melakukan clear cache dan menggunakan internet yang stabil, tetapi aplikasi masiih saja force close ketika ingin login",5,0.09999999999999999,0.3833333333333333,Positive,"clear cache internet stabil, aplikasi masiih force close login"
"saya coba masuk mau pencet login untuk masukkin pin, langsung ketutup sendiri aplikasinya saya coba pencet sembarang ke white space keluar juga dari aplikasi 😭😭😭 saya mau liat tabungan saya",4,0.0,0.0,Positive,"coba masuk pencet login masukkin pin, langsung ketutup aplikasinya coba pencet sembarang white space aplikasi 😭😭😭 liat tabungan"
i can't open and use the apps 🙂,1,0.0,0.5,Negative,can't open use apps 🙂
"parah. aplikasi banyak bug, nyusahin nasabah. tiba-tiba layar blank hitam, terus muncul blu not responding. apa-apaan bung!",1,0.0,0.0,Negative,"parah. aplikasi bug, nyusahin nasabah. layar blank hitam, muncul blu responding. apa-apaan bung!"
tidak bisa masuk aplikasi,1,0.0,0.0,Negative,masuk aplikasi
"applikasinya lemot, lama loading and 3x gagal transaksi tapi dana di potong dan dikembalikan 3 hari kerja... really suck!! #uninstall asap",1,0.3125,0.2,Negative,"applikasinya lemot, loading 3x gagal transaksi dana potong dikembalikan 3 kerja... really suck!! #uninstall asap"
"di update bukannya makin bagus malah makin jelek. saya mau log in aja sampe gak bisa. tulisannya selalu ""sesi anda habis"". udah dm di twitter sampe whatsapp ke blu tapi masih gak bisa juga. ini gimana solusinya? harusnya sistemnya diperbaiki malah bukan diperburuk. aneh",1,0.0,0.0,Negative,"update bagus jelek. log sampe bisa. tulisannya ""sesi habis"". udah dm twitter sampe whatsapp blu juga. gimana solusinya? sistemnya diperbaiki diperburuk. aneh"
setelah update knp gak bisa dibuka ya. install dan install ulang app sudahm restart hp juga sidah clear data sudah semua tetep gak bisa login,3,0.09999999999999999,0.3833333333333333,Neutral,update knp dibuka ya. install install ulang app sudahm restart hp sidah clear data tetep login
"bca konvensional saya udah di block sepihak sama bca, dan ga bisa dibuka lagi, sekarang bca digital saya ga bisa dibuka, selalu crash setiap di buka. bener bener bikin sulit kehidupan...",1,0.0,0.0,Negative,"bca konvensional udah block bca, dibuka lagi, bca digital dibuka, crash buka. bener bener bikin sulit kehidupan..."
"aplikasi saya terus force close ketika saya ingin masuk kedalam dashboard blu, tolong diperbaiki,karena sangat menganggu",1,0.0,0.0,Negative,"aplikasi force close masuk kedalam dashboard blu, tolong diperbaiki,karena menganggu"
punya saya tiba tiva tidak bisa masuk ke aplikasi. saat buka aplikasi langsung keluar. mojhon bantuannya min!,1,0.0,0.0,Negative,tiva masuk aplikasi. buka aplikasi langsung keluar. mojhon bantuannya min!
"finally no longer as slow as previous versions, now faster to access. good job",5,0.05833333333333332,0.5416666666666667,Positive,"finally longer slow previous versions, faster access. good job"
"ribet, mau daftar aja lama, udah konek ke csnya 2x, disuruh silakan coba lagi nanti. ampe lupa password ga bisa direset, notif ptuts mulu. jadi males mo daftar, uninstall thanks",1,0.2,0.2,Negative,"ribet, daftar lama, udah konek csnya 2x, disuruh silakan coba nanti. ampe lupa password direset, notif ptuts mulu. males mo daftar, uninstall thanks"
kenapa setiap kali tf ke no baru langsung forced closed saat menulis no rek. coba tf ke no yg sudah tersimpan lancar,3,-0.2,0.15000000000000002,Neutral,kali tf langsung forced closed menulis rek. coba tf tersimpan lancar
bagus,5,0.0,0.0,Positive,bagus
"habis update malah sering hang. tiap habis transaksi 1x langsung bengong aplikasinya, musti dimatiin lalu login lagi. habis login transaksi 1x pun hang lagi. jadi 1x login untuk 1x transaksi. padahal sebelum update lancar2 aja. tolong diperbaiki dong",2,0.0,0.0,Negative,"habis update hang. habis transaksi 1x langsung bengong aplikasinya, musti dimatiin login lagi. habis login transaksi 1x hang lagi. 1x login 1x transaksi. update lancar2 aja. tolong diperbaiki"
psstikan smartphone tidak bergoyang.......................,1,0.0,0.0,Negative,psstikan smartphone bergoyang.......................
"customer servicenya tidak membantu. sy request kartu 9 bulan lalu tapi belum sampai. disuruh telpon 1500668 tapi di telpon gak nyambung, kirim email disuruh wa, kirim wa disuruh telpon.",1,0.0,0.0,Negative,"customer servicenya membantu. sy request kartu 9 sampai. disuruh telpon 1500668 telpon nyambung, kirim email disuruh wa, kirim wa disuruh telpon."
"aplikasi jelek tidak real time dengan saldo setelah diisi. 1. kondisi sedang membuka aplikasi 2. topup dari bank bca via bi fast 3. balik ke aplikasi (kondisi udah berjalan), pembayaran qris, saldo tidak terupdate, masih kurang 4. alhasil supaya antrian venue tidak lama, tidak jadi menggunakan blu untuk pembayaran.",1,0.2,0.45,Negative,"aplikasi jelek real time saldo diisi. 1. kondisi membuka aplikasi 2. topup bank bca via bi fast 3. aplikasi (kondisi udah berjalan), pembayaran qris, saldo terupdate, 4. alhasil antrian venue lama, blu pembayaran."
"needs to be fixed, it takes quite a long time to load and has a bit of lag. the user interface is very good.",3,0.32,0.46000000000000013,Neutral,"needs fixed, takes quite long time load bit lag. user interface good."
update terbaru oke bget. aplikasi jadi ringan dan lancar,5,0.0,0.0,Positive,update terbaru oke bget. aplikasi ringan lancar
"setelah update jadi sering ngelag, unresponsive",1,0.0,0.0,Negative,"update ngelag, unresponsive"
"cs blubca tidak seramah satpam bca, perkara beda nama jalan di ktp dan kk ditanyai seperti penjahat.",1,0.0,0.0,Negative,"cs blubca seramah satpam bca, perkara beda nama jalan ktp kk penjahat."
"mau reset password ngelag, belum jg pake apps ini udh males crash appsnya. bhaay lah",1,0.0,0.0,Negative,"reset password ngelag, jg pake apps udh males crash appsnya. bhaay"
"the notification now override my phone notification settings. even when i set everything on silent, this app still makes sound on transaction. extremely annoying.",1,-0.13333333333333333,0.4666666666666666,Negative,"notification override phone notification settings. even set everything silent, app makes sound transaction. extremely annoying."
good digital bank,5,0.35,0.30000000000000004,Positive,good digital bank
"blu busukkkkkk!!!!! sekarang susah mau login aplikasi, tiap mau login selalu keluar keluar. udah lemot sekarang busuk gini. nyesel dulu rekomen ke banyak orang, sekarang kayak siput lelettttt",1,0.0,0.0,Negative,"blu busukkkkkk!!!!! susah login aplikasi, login keluar. udah lemot busuk gini. nyesel rekomen orang, kayak siput lelettttt"
"parah meeen. lemot banget akses aplikasinya. padahal udah make 2 tahun. bukan gegara koneksi, soalnya udah ganti 2 provider datanya, pake wifi yg emang cepet, tetep aja buka ni app lama banget. apalagi pas mau transaksi. jadi kek dikira mau nipu pas di kasir. tolong dibenerin",2,0.0,0.0,Negative,"parah meeen. lemot banget akses aplikasinya. udah make 2 tahun. gegara koneksi, udah ganti 2 provider datanya, pake wifi emang cepet, tetep buka ni app banget. pas transaksi. kek nipu pas kasir. tolong dibenerin"
sejak update malah sering error. muncul tulisan blu is not responding terus. tolong perbaiki lah,1,0.0,0.0,Negative,update error. muncul tulisan blu responding terus. tolong perbaiki
"kenapa ya verifikasi ke nomor axis/xl selalu tidak mendapat kode otp, gak bisa daftar...",1,0.0,0.0,Negative,"ya verifikasi nomor axis/xl kode otp, daftar..."
"digital banking lain udah ada versi syariahnya, kapan ya blu juga nyediain versi syariahnya, min?",5,0.0,0.0,Positive,"digital banking udah versi syariahnya, ya blu nyediain versi syariahnya, min?"
"ini aplikasi digital banking yg engga banget. cuma dompleng nama besar bca. loading lama, apalagi setelah update yg terakhir jadi kacau bgt! kirim dana pake keranjang ke 5 nomor rekening, di page akhir 5 rekening semua nama nya sama. notifikasi nya kacauuuu mengganggu sekali! sudah matikan notifikasi dari app, sudah matikan nada dering hp, tapi tetap tiap kali habis transaksi muncul suara bluuuuuu. saya tiap hari puluhan kali transaksi, puluhan kali bunyi bluuuu terus.",2,0.0,0.0,Negative,"aplikasi digital banking engga banget. dompleng nama bca. loading lama, update kacau bgt! kirim dana pake keranjang 5 nomor rekening, page 5 rekening nama sama. notifikasi kacauuuu mengganggu sekali! matikan notifikasi app, matikan nada dering hp, kali habis transaksi muncul suara bluuuuuu. puluhan kali transaksi, puluhan kali bunyi bluuuu terus."
"bisa tolong diperbaiki, saya pengguna baru mau daftar blu tetapi karena lupa password lalu user saya terblokir, akhirnya saya mau reset password. setelah di klik reset password hanya loading saja tidak terjadi apa-apa. sudah saya coba di 2 device android versi 13 dan di iphone 11 keduanya sama. terima kasih",5,0.0,0.0,Positive,"tolong diperbaiki, pengguna daftar blu lupa password user terblokir, reset password. klik reset password loading apa-apa. coba 2 device android versi 13 iphone 11 sama. terima kasih"
terbaik emang blu,5,0.0,0.0,Positive,terbaik emang blu
"parah sih. lelet banget, plus sering not responding padahal selalu diupdate. mengecewakan!",1,0.0,0.0,Negative,"parah sih. lelet banget, plus responding diupdate. mengecewakan!"
ini aplikasi knapa pada ga bisa dibuka? padahal suda di coba di 2 hp android yang berbeda,1,0.0,0.0,Negative,aplikasi knapa dibuka? suda coba 2 hp android berbeda
mau buka rekening aja nge-lag. sudah di proses foto ktp padahal tp nge lag terus sampe seminggu tanpa ada penyelesaian yg jelas. data diri saya sudah terlanjur masuk tapi buka rekening nggak bisa. kalau ada bintang 0 mending 0 deh. kalau belum siap untuk buka bank digital mending gausah deh,1,0.0,0.0,Negative,buka rekening nge-lag. proses foto ktp tp nge lag sampe seminggu penyelesaian jelas. data terlanjur masuk buka rekening nggak bisa. bintang 0 mending 0 deh. buka bank digital mending gausah deh
"agak menyesal daftar,.bukan karena layanannya tapi app nya ternyata lambat sekali. untuk user baru, info tips nya kebanyakan, masih bisa di saring lagi apa yg bener² penting. mau transfer saja step nya banyak sekali (transfer pertama kali). mudah²an segera ada perbaikan. server kejauhan atau coding gak optimal nih???",2,0.0,0.0,Negative,"menyesal daftar,.bukan layanannya app lambat sekali. user baru, info tips kebanyakan, saring bener² penting. transfer step (transfer kali). mudah²an perbaikan. server kejauhan coding optimal nih???"
semenjak diupdate jadi lag banget... aneh,3,0.0,0.0,Neutral,semenjak diupdate lag banget... aneh
rese registrasinya,1,0.0,0.0,Negative,rese registrasinya
tidak bisa reset pasword. ribet. susah. tidak suka,1,0.0,0.0,Negative,reset pasword. ribet. susah. suka
"semenjak update, tiap 5 menit otomatis logout dari app, harus login ulang (masukin no hp, otp, password). melelahkan.",1,0.0,0.0,Negative,"semenjak update, 5 menit otomatis logout app, login ulang (masukin hp, otp, password). melelahkan."
"already using the latest version, but the app keeps crashing, please fix it for android version",2,0.5,0.9,Negative,"already using latest version, app keeps crashing, please fix android version"
aplikasi nggak bisa di akses. akun ke blokir karena salah password pas mau disetting app loading terus,1,0.0,0.0,Negative,aplikasi nggak akses. akun blokir salah password pas disetting app loading
"buat ngefoto ktpnya kok error ya, tolong diperbaiki, bikin kesel aja, se nggak profesional itu kah?",1,0.0,0.0,Negative,"ngefoto ktpnya error ya, tolong diperbaiki, bikin kesel aja, nggak profesional kah?"
"suka kasih promo tipu2, hati2 sama anak perusahaan bca ini, penuh tipu muslihat. bank lain masih banyak yang lebih fair kalau kasih promo",1,0.7,0.9,Negative,"suka kasih promo tipu2, hati2 anak perusahaan bca ini, penuh tipu muslihat. bank fair kasih promo"
"parah aplikasinya lemot, ambil dari pocket aja gagal, urgent mau transfer gagal terus. di upgrade lah server kalian itu. sayang banget konsep nya bagus, tapi tiap kali dipake bikin emosi.",1,0.0,0.0,Negative,"parah aplikasinya lemot, ambil pocket gagal, urgent transfer gagal terus. upgrade server itu. sayang banget konsep bagus, kali dipake bikin emosi."
can't make a transaction for long time. and no announcement about problem or technical issue.,1,-0.025,0.25,Negative,can't make transaction long time. announcement problem technical issue.
"aplikasi jelek! setiap buka aplikasi lemot. eror terus, percuma nabung di blu kalau koneksinya terputus terus! padahal sinyal kenceng.",1,0.0,0.0,Negative,"aplikasi jelek! buka aplikasi lemot. eror terus, nabung blu koneksinya terputus terus! sinyal kenceng."
"sering error, tidak bisa transfer",1,0.0,0.0,Negative,"error, transfer"
sering gsngguan koneksi. tiba-tiba pas urgent butuh dana malah ga bisa tarik dana sama sekali 🥲,2,0.0,0.0,Negative,gsngguan koneksi. pas urgent butuh dana tarik dana 🥲
tiap transaksi qr atau cuma buat buka app nya selalu muncul notif blu is not responding. tolong lebih di maintenance lagi,1,0.0,0.0,Negative,transaksi qr buka app muncul notif blu responding. tolong maintenance
"the app keep crashing, setiap buka selalu keluar paksa padahal udah di update juga. mau transaksi jadi susah.",1,0.0,0.0,Negative,"app keep crashing, buka paksa udah update juga. transaksi susah."
"fitur nya bagus dan ui nya pun menarik tapi terlalu sering update, banyak promo nya juga, fitur nabung dan uang di rekening terpisah, itu ngebantu banget!",4,0.0,0.0,Positive,"fitur bagus ui menarik update, promo juga, fitur nabung uang rekening terpisah, ngebantu banget!"
it keep crashing nowadays even though i update the app and i keep a quite sum of money here 😭 i need help 😭,1,0.0,0.0,Negative,keep crashing nowadays even though update app keep quite sum money 😭 help 😭
"saya suka sekali pakai blu karena fitur2nya. tapi akhir2 ini setelah maintenance kemarin, aplikasi jadi suka keluar sendiri dan lemot. waktu saya butuh untuk bayar aplikasi tiba2 keluar terus berkali2. saya minta tolong dengan sangat untuk diperbaiki sistemnya 🙏",3,0.0,0.0,Neutral,"suka pakai blu fitur2nya. akhir2 maintenance kemarin, aplikasi suka lemot. butuh bayar aplikasi tiba2 berkali2. tolong diperbaiki sistemnya 🙏"
"new response : lebih payah dari fitur bank digital lain, ga perlu bawa nama bca kalau pakai kuota, emang ada atm khusus blu di seluruh indonesia ? 👎🏻👎🏻👎🏻👎🏻👎🏻 bawa nama bca, tapi tarik tunai di atm bca malah ada kuotanya kuota loyalti masih ada banyak, eh kena admin bca 👍🏻👍🏻👍🏻 blu by bca digital 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻",1,0.04545454545454545,0.15151515151515152,Negative,"new response : payah fitur bank digital lain, bawa nama bca pakai kuota, emang atm khusus blu indonesia ? 👎🏻👎🏻👎🏻👎🏻👎🏻 bawa nama bca, tarik tunai atm bca kuotanya kuota loyalti banyak, eh kena admin bca 👍🏻👍🏻👍🏻 blu bca digital 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻"
lemot banyak iklan fitur2 yg gaguna,1,0.0,0.0,Negative,lemot iklan fitur2 gaguna
sekelas bca apk nya crushed terus. logout sendiri. rusak!!!!,1,-0.244140625,0.1,Negative,sekelas bca apk crushed terus. logout sendiri. rusak!!!!
"terrible ui/ux. this is a mobile banking app, ffs! no need for useless features and designs that takes forever to load! also, when i'm using the app, i keep getting the error message that said ""blu did not respond. close the app?"" every. few. seconds. and the error message keep popping out until i chose ""close the app"" even if i actually already closed the app.",2,-0.385,0.30000000000000004,Negative,"terrible ui/ux. mobile banking app, ffs! useless features designs takes forever load! also, using app, keep getting error message said ""blu respond. close app?"" every. few. seconds. error message keep popping chose ""close app"" even actually already closed app."
kok jadi nge freeeze mlulu sih,2,0.0,0.0,Negative,nge freeeze mlulu sih
gila ini aplikasi udah di update bukannya makin oke malah makin suka error. mau log in malah tiba-tiba keluar sendiri. udah dicoba berkali-kali tetep begini. padahal kuota internet juga masih banyak & jaringan stabil. diskriminasi banget kalo di android,2,0.0,0.0,Negative,gila aplikasi udah update oke suka error. log sendiri. udah dicoba tetep begini. kuota internet & jaringan stabil. diskriminasi banget kalo android
"aplikasi yg terbaru sering stuck, jadi harus tutup paksa aplikasinya baru buka lagi. repot banget kalau lg buru2, buka tutup aplikasi. semoga ada perbaikannya",2,0.0,0.0,Negative,"aplikasi terbaru stuck, tutup paksa aplikasinya buka lagi. repot banget lg buru2, buka tutup aplikasi. semoga perbaikannya"
good,5,0.7,0.6000000000000001,Positive,good
"sejak update sekarang jadi sering ngelag dan not responding. tolong di perbaiki lagi aplikasinya, nanti baru saya tambah lagi bintangnya. masak sekelas bca aplikasinya sering ngelag.",1,0.0,0.0,Negative,"update ngelag responding. tolong perbaiki aplikasinya, bintangnya. masak sekelas bca aplikasinya ngelag."
kok notif nya jadi move your face away??,1,0.0,0.0,Negative,notif move face away??
"ini kok malah ngefreeze layarnya pas di update versi 2.0.20 padahal sebelumnya aman2 aja. udah dicoba clear cache, mode pesawat ganti jaringan dan setting waktu jg udh otomatis masih sama aja ngefreeze",3,0.09999999999999999,0.3833333333333333,Neutral,"ngefreeze layarnya pas update versi 2.0.20 aman2 aja. udah dicoba clear cache, mode pesawat ganti jaringan setting jg udh otomatis ngefreeze"
"versi 2.0 amat sangat lambat. klik salah satu menu bisa menunggu 5-10 detik. semoga segera diperbaiki performance seperti versi sebelumnya. edit 21/7/2025: versi sudah terbaru 2.0.20, internet tidak ada masalah. aplikasi lain lancar mybca juga lancar. mohon cek lagi aplikasi/backend blu-nya. admin please baca review, jangan asal reply dengan template. edit 22/7: sudah lebih cepat dan bisa digunakan, hanya masih sedikit lag jika dibandingkan versi lama. terima kasih atas perhatiannya.",4,0.0,0.0,Positive,"versi 2.0 lambat. klik salah menu menunggu 5-10 detik. semoga diperbaiki performance versi sebelumnya. edit 21/7/2025: versi terbaru 2.0.20, internet masalah. aplikasi lancar mybca lancar. mohon cek aplikasi/backend blu-nya. admin please baca review, reply template. edit 22/7: cepat digunakan, lag dibandingkan versi lama. terima kasih perhatiannya."
"promo cashback di kopi kenangan tp ga dapet cashback. dibilang kuota abis, kalo kuota abis ya ditutup promonya. namanya org beli pasti cari promo, kalo ada kuota ya pasti org pake smua. dan pas kuota abis pasti org2 akan mikir beli atau engga ya??? ini ky jebakan betmen promonya. ga ada notif ga ada pemberitahuan apapun. cukup sekali ini aja pake blunya.",1,0.0,0.0,Negative,"promo cashback kopi kenangan tp dapet cashback. dibilang kuota abis, kalo kuota abis ya ditutup promonya. namanya org beli cari promo, kalo kuota ya org pake smua. pas kuota abis org2 mikir beli engga ya??? ky jebakan betmen promonya. notif pemberitahuan apapun. pake blunya."
"ngaku bank digital, tapi proses buat rekening ribet. kalau dengan allo bank. segala minta video call segala. auto uninstall.",1,0.0,0.0,Negative,"ngaku bank digital, proses rekening ribet. allo bank. video call segala. auto uninstall."
update juli bikin ngehang terus harus force closed terus buka lagi. coba developer dan technical team benerin ini,3,-0.05,0.1,Neutral,update juli bikin ngehang force closed buka lagi. coba developer technical team benerin
tidak bisa dibuka setelah selesai di install,1,0.0,0.0,Negative,dibuka selesai install
last update. setelah transaksi aplikasinya bugs ngefrezz ga bisa di gerakin. harus close apps. tolong di perbaikin,1,0.0,0.06666666666666667,Negative,last update. transaksi aplikasinya bugs ngefrezz gerakin. close apps. tolong perbaikin
aaaaaack jadi lemot banget apk nya huhu ayuk perbaiki lagi aplikasinya kayak bca biasaaa,2,0.0,0.0,Negative,aaaaaack lemot banget apk huhu ayuk perbaiki aplikasinya kayak bca biasaaa
"tolong kembalikan tampilan blu. yang sekarang ga to the point, malah bikin ribet dengan perubahan ux.",2,0.0,0.0,Negative,"tolong kembalikan tampilan blu. point, bikin ribet perubahan ux."
"blu 2.0 ux is a mess. pls remember this is a banking app. we want to see figures instantly, not promos, and other secondary infos!",2,-0.16875,0.37916666666666665,Negative,"blu 2.0 ux mess. pls remember banking app. want see figures instantly, promos, secondary infos!"
ngecras mulu apps nya loading lama face reconize nya ga akurat...,2,0.0,0.0,Negative,ngecras mulu apps loading face reconize akurat...
"it's literally good, but damn this app keeps asking to update",3,0.7,0.6000000000000001,Neutral,"literally good, damn app keeps asking update"
"so far it’s good but please don’t make it update consecutive, make it more light",4,0.42499999999999993,0.7,Positive,"far it’s good please don’t make update consecutive, make light"
"sering eror, sering tdk bisa buka app",1,0.0,0.0,Negative,"eror, tdk buka app"
nggak usah kasih promo cashback kalau nggak niat,1,0.0,0.0,Negative,nggak kasih promo cashback nggak niat
kenapa sering bgt update app???? masa seminggu sekali di update😭,3,0.0,0.0,Neutral,bgt update app???? seminggu update😭
susah bgt untuk sinyalnya jelek...harus update dlu,2,0.0,0.0,Negative,susah bgt sinyalnya jelek...harus update dlu
kalo update sekalian knp si jgn bentar2 update nanggung,4,0.0,0.0,Positive,kalo update knp si jgn bentar2 update nanggung
blu udah ga lelet pembaruan 2.0 nya mantap,5,0.0,0.0,Positive,blu udah lelet pembaruan 2.0 mantap
"habis update kok jadi makin lelet ya aplikasi nya? tolong diperbaiki secepatnya! reply 1: justru itu, setelah diupdate per 18 juli 2025 malah makin lelet. tolong diperbaiki ya!",2,0.0,0.0,Negative,"habis update lelet ya aplikasi nya? tolong diperbaiki secepatnya! reply 1: itu, diupdate 18 juli 2025 lelet. tolong diperbaiki ya!"
"update terbaru sering lost connection, padahal app lain aman",1,0.0,0.0,Negative,"update terbaru lost connection, app aman"
"lemot parah. pencet dikit loadingnya seabad, udah gitu berat banget lagi padahal jaringan sangata amat stabil. ga perlu dah update ui/ux, benerin dulu tuh processing app nya, sekian lama nunggu update kirain bakal lebih cepet, malah makin lambat.",2,0.0,0.0,Negative,"lemot parah. pencet dikit loadingnya seabad, udah gitu berat banget jaringan sangata stabil. dah update ui/ux, benerin tuh processing app nya, sekian nunggu update kirain cepet, lambat."
semenjak di update malah jadi lemot dan reconnect terus padahal transaksi pakai m.banking bank lain baik baik saja,1,0.0,0.0,Negative,semenjak update lemot reconnect transaksi pakai m.banking bank
"barusan disuruh update eh malah luwemot, gak bisa ngapa ngapain, liat saldo lemot, liat mutasi lemot, mau transfer gak bisa hadeh",1,0.0,0.0,Negative,"barusan disuruh update eh luwemot, ngapa ngapain, liat saldo lemot, liat mutasi lemot, transfer hadeh"
"d bikin klo back ga usah konfirmasi untuk keluar... lama pulak muncul konfirmasinya... kbanyakan hrus d rage quit dulu...trus loadingnya rada lama knapa yah ga sperti cth... mbanking bca... ------------------------------------ updateannya bagus yah, tpi hari ini 19/juli /2025, lemot banget putus putus, internet lgi stabil...",4,0.0,0.0,Positive,"bikin klo back konfirmasi keluar... pulak muncul konfirmasinya... kbanyakan hrus rage quit dulu...trus loadingnya rada knapa yah sperti cth... mbanking bca... ------------------------------------ updateannya bagus yah, tpi 19/juli /2025, lemot banget putus putus, internet lgi stabil..."
ini popup notifikasi gak bisa dihilangkan? tiap transaksi qris harus tutup popup,1,0.0,0.0,Negative,popup notifikasi dihilangkan? transaksi qris tutup popup
"dengan pembaruan ui yang baru menurut saya jadi kurang relavan, terlalu banyak loading, transaksi jadi semakin lambat, tolong diperhatikan, sekarang yang dibutuhkan kecepatan bukan hanya tampilan, saya menghitung dari login, penarikan blu gether, sampai transaksi ke bank lain, bisa lebih dari 10 menit, masuk ke menu list rekening saja loading, sampai login saja saya hitung ada 3 sesi loading, menurut saya kurang efektif, apalagi saya seorang developer programmer, ga user friendly. terima kasih.",3,0.375,0.5,Neutral,"pembaruan ui relavan, loading, transaksi lambat, tolong diperhatikan, dibutuhkan kecepatan tampilan, menghitung login, penarikan blu gether, transaksi bank lain, 10 menit, masuk menu list rekening loading, login hitung 3 sesi loading, efektif, developer programmer, user friendly. terima kasih."
"really bad. digital bank tapi sistem ga mulus. saya mau transaksi terhambat, not recommend",1,-0.3499999999999999,0.3333333333333333,Negative,"really bad. digital bank sistem mulus. transaksi terhambat, recommend"
bagus sebenenya overall hanya sering banget loading / lelet / lemot kedepannya help bisa diperbaiki speednya,5,0.0,0.0,Positive,bagus sebenenya overall banget loading / lelet / lemot kedepannya help diperbaiki speednya
lemott lelett 👎🏻,1,0.0,0.0,Negative,lemott lelett 👎🏻
"aplikasinya lambat sekali, ada update malah makin lambat",2,0.0,0.0,Negative,"aplikasinya lambat sekali, update lambat"
tolong aplikasi nya lemot banget loadingnya perbaiki agar gampang transaksi nya trima kasih.,1,0.0,0.0,Negative,tolong aplikasi lemot banget loadingnya perbaiki gampang transaksi trima kasih.
"ux not good, take too much time too load",1,-0.07499999999999998,0.4,Negative,"ux good, take much time load"
"servernya tingkat lagi. terlalu berat untuk load servernya atau bahkan untuk menampilkan ui interface lain. bagus si, tapi kalo begini speed engine nya juga harus di imbangin.",5,0.0,0.0,Positive,"servernya tingkat lagi. berat load servernya menampilkan ui interface lain. bagus si, kalo speed engine imbangin."
"tampilan ui ux yg baru bikin aplikasinya jadi lag parah. buat login aja bisa nunggu 1 menit. awalnya kira karena masalah koneksi, ternyata emang dari apps nya yg lag",1,0.0,0.0,Negative,"tampilan ui ux bikin aplikasinya lag parah. login nunggu 1 menit. koneksi, emang apps lag"
"tadi malem update hari ini mau pake lemotnya ga ketulungan, udah lemot ada masalah inilah itulah, batal semua",1,0.0,0.0,Negative,"malem update pake lemotnya ketulungan, udah lemot itulah, batal"
"udah tau aplikasinya berat, malah update baru ditambah fitur yang bikin ribet. buka aplikasi ga lgsg masuk ke halaman utama malah ada menu lain yang ga guna banget,memperlambat transaksi",1,0.0,0.0,Negative,"udah tau aplikasinya berat, update ditambah fitur bikin ribet. buka aplikasi lgsg masuk halaman utama menu banget,memperlambat transaksi"
app is taking so much time to load. please fix this performance issue before anyone frustrated and choose another bank alternatives!,1,-0.3375,0.2,Negative,app taking much time load. please fix performance issue anyone frustrated choose another bank alternatives!
"server busuk, apalagi pas ada event, lemot nya parah",1,0.0,0.0,Negative,"server busuk, pas event, lemot parah"
lemot bener dah aplikasinya padahal yang pertama dibuka ya ini aplikasi. internet udah pake wi-fi.,2,0.0,0.0,Negative,lemot bener dah aplikasinya dibuka ya aplikasi. internet udah pake wi-fi.
"aplikasinya kaya belum mateng ya . seringakali login gagal padahal koneksi stabil, sering banget lag sampe freeze. mohon di koreksi sm pihak it nya. user bank digital lain juga, blu salah satu yg paling lag aplikasinya so far.",3,0.05,0.5,Neutral,"aplikasinya kaya mateng ya . seringakali login gagal koneksi stabil, banget lag sampe freeze. mohon koreksi sm nya. user bank digital juga, blu salah lag aplikasinya far."
"bagus,ada custom nomor rekening juga.keren.",5,0.0,0.0,Positive,"bagus,ada custom nomor rekening juga.keren."
lemot dan terlalu banyak update!!,1,0.0,0.0,Negative,lemot update!!
nyuruh update terus tapi tetep lemot kalo diklik,4,0.0,0.0,Positive,nyuruh update tetep lemot kalo diklik
"sering update, 1 minggu update 2x",3,0.0,0.0,Neutral,"update, 1 minggu update 2x"
"tiap buka aplikasi selalu lemot, tiap ada update harus banget diinstal dan ga bisa dibuka kalo ga diinstal ini ga efisien banget, bawaannya tiap buka app ini berat banget. review ini buat masukan ke depannya semoga blu bisa nyontoh aplikasi ewallet/m banking lain yang ringan dan ramah ui ux nya buat semua jenis hp sekalipun yang bukan versi terbaru",1,0.0,0.0,Negative,"buka aplikasi lemot, update banget diinstal dibuka kalo diinstal efisien banget, bawaannya buka app berat banget. review masukan depannya semoga blu nyontoh aplikasi ewallet/m banking ringan ramah ui ux jenis hp versi terbaru"
"baru bikin akun. pas login, ada notif buat verifikasi email. ok, diikuti. suruh masukin otp yang dikirim ke email. switch app, cek email masuk, copy otpnya, switch ke blu, paste otp, enter. ""sesi kamu habis, masuk lagi yuk!"" diulang 10x juga gitu terus. ini aku yang bego ato gimana sih... sampah banget...",1,0.625,0.5,Negative,"bikin akun. pas login, notif verifikasi email. ok, diikuti. suruh masukin otp dikirim email. switch app, cek email masuk, copy otpnya, switch blu, paste otp, enter. ""sesi habis, masuk yuk!"" diulang 10x gitu terus. bego ato gimana sih... sampah banget..."
mau bagaimana daftar aplikasi verifikasinya eror terus,1,0.0,0.0,Negative,daftar aplikasi verifikasinya eror
