final_content,sentiment
abis baru buka,negatif
sensaional,positif
mantul,positif
mantep cuman jatah ambil uang bulan kalo ditambahin ui,positif
tambah paylater depan,positif
berat pas buka depan satset,positif
promo pakai yaudah mending tarik dana,negatif
bagus cepat kerjasama finace bayar,positif
oke,positif
puas banget make jaman now pokok jujur smartphone ram gb kadang lambat atur profil pindah menufitur moga depan developer perhati isue ya,positif
masuk akun putus transaksi susah kali putus,positif
lambat banget,negatif
ok,positif
pakai fitur lumayan lengkap responsif buka loading ads scan biometrik homepage loadingnya buka notif loading lambat lambat,negatif
lambat banget ya kaya kepake deh kalo kaya gin mending langsung pakai mobile cepet tolong baik lola gin,negatif
tolong perhati aplikasi nyamain shope berat lot baru oktober buka laging kadang normal tolong ekosistem d tingkat transaksi gegara pindah menu d aplikasi aj kadang cepet kadang lambat,negatif
bagus,positif
lambat banget sinyal lancarterlalu lambat gabisa buka loadingnya banget bikin gregetan tolong baik,negatif
ok bos,positif
suka banget pakai sayang bayar keluarin qris scan kayak imaret amart bayar butuh qris moga keluarin qris bayar,positif
recomended mudah,positif
narik uang atm uang saldo potong aneh nungu tangung buruk untung nominal gymna nominal,negatif
puas,positif
oke,positif
bagus,positif
lawak gilir take ktp kamera hitam putih detect fotocopy kayak miskin,negatif
lancar buka rekiningtapi ac pinjam sekalitolong bantu ac bumakasih,positif
bagus,positif
b,positif
bagus banget,positif
suka pas butuh verifikasi verifikasi ribet pakai wajah buka mulut pas aneh maluin suka ngulang baik coba developerceo ngelakuin buka mulut kek hewan lapar wkwkwk,negatif
fclose,positif
baik,positif
bagus,positif
kadang lambat,positif
generasi gen z sat set,positif
gagal foto ektp foto daftar deh,negatif
fiturnya bagus,positif
sedikitsedikit mesti baru versi baru ngebuat nyaman hambat butuh mesti cepat mlah harus mengupdate versi baru kali mengupdate aplikasi kasi orgorg spek handphone mesti mengupdate aplikasi makan ruang simpan mohon tinjau,positif
god,positif
pakai mudah,positif
masuk verifikasi wajah gagal ters,negatif
layan customer servis buruk tele tele selesai masalahnasabah butuh butuh nasabahmasih produk mudah layan ganti nomer handphone nomer hangus ganti nomer hand phone nyata terselesaikancustomer servis educated selesai nasabahsaya mohon data rekam sistem blue,negatif
suka vitur lambat masuk transfer tolong baik,positif
berat kadang lancar,positif
bagus promopromonya,positif
mantapertahankan,positif
susah masuk hp ram gede ngaruh lambat,negatif
bagus sistem tarik tunai klo indomaret alfamart minat sucses deh by,positif
mudah proses transaksi,positif
susah buka bug tolong baik bikin nyaman aplikasinyamana saldo,negatif
dapet potong dapet bunga bulanya,positif
mudah digunakanlanjutkan expansi bayar skr era klu crypto masuk rate transaksinext with crypto,positif
god,positif
kasih bintang cocok hape kentang level entry coba berulangkali scan wajah susah banget moga lekas ramah hp jenis entry level tabung,negatif
tolong baik aman kemarin kali orang coba masukmereset pasword,positif
selesai cepat cs tim it gerak responsif terimakasih,positif
sayang mengunakan scren lock orang suka hp mengunakan scren lock minat daftar daftar,positif
bantu urus transaksi mudah nyaman,positif
jalan lambat berat notifikasi jaring putus jaring internet stabil moga cepat tim baik terima kasih,positif
biaya admin blue bikin biaya adminya gratis kali tarik tunai kartu pakai kartu kena biaya admin kali liat setor tunai kena biaya rugi banget pakai,negatif
kadang lambat,positif
bantu bangat,positif
ribet,positif
pajak gede banget,negatif
terima kasih banget bikin bagus ngebantu banget uang sumpah bahagia banget pakai,positif
bagus,positif
kenal wajah susah cahaya posisi,negatif
barubaru info coba download rekening udngn r i z k y j k h b asli puas mudah transaksi kirim uang beda biaya admin bagus up ewalet biaya admin potong bulan tarik setor tunai atm virtual card debit cardnya gratis kirim alamat tampil aplikasi simple,positif
transaksi mudah trimksh,positif
bagus banget asli tf mana gampang biaya adminya bjsa bagus up ewalet bayar qris bagus banget deh,positif
pakai asik transaksi gratis beda nyoba tarik tunai pakai kartu next coba,positif
belanja mudah serba sat set,positif
realy bad,negatif
request kartu,negatif
gajelas,negatif
blok selfi mampus kaga,negatif
procesing navigasi tolong cepat loadingnya suka tingkat kompabilitas hp jadul hp jadul maka lambat,positif
fitur tolong tingkat kerjasama qris bayar qris tampil qris barcode tampil bayar minimarketstore,positif
bantu,positif
mutasi rekening tolong email bls,positif
transaksi mudah,positif
lancar,positif
bagus belu by,positif
taik verifikasi wajah gagal mulu kayak taik kayak mbanking,negatif
oke registrasi mudah cepat fitur lumayan transaksi realtime aman sayang berat depan harap bagus,positif
bayar va mohon tingkat,positif
jaring bagus lambat banget masuk,positif
ok its beter now guys,positif
sih aplikasi bikin kesel masuk tb banget masuk,negatif
aneh dah asa baru loadingnya dibenerin pindah loading benerin,negatif
aplikasi loading mulu masuk pakai biometrik sesi baik min biar lancar servernya kaya mybca,negatif
apknya sih enak nyaman gitu bagus pol kecewa proses transaksi bnget plis beli paket data jam pagi sampe masuk lapor nungu maksimal sampe tangal tangal plis bnget jujur nyesel beli paket data tau gitu beli kali beli paket data apa ku kasih bintang smpe hri msuk,negatif
masuk atas,negatif
bagus tapiaplikasinya lemotmaf tolong baik bagus nyamanitu sih,positif
bintang kurang klik menu tombol pindah menu,positif
ok,positif
bagus cakep,positif
aplikasi bagus tlong biya adminya jangn mahal,positif
ok,positif
bagus banget,positif
dukung uang jaman now,positif
ok,positif
ok,positif
bagus skali,positif
lambat tolong baik,negatif
fitur aplikasi sih bagus buka konfirmasi sms masuk sandi aplikasi force close pakai perban buruk,negatif
transaksi trasnfer topupqris dlcuman isi saldo,negatif
bagus banget biaya bebas kirim,positif
ok,positif
lupa pasword verifikasi reset pasword susah terang handphone goyang hp kasih lakban tempel dinding bad conection,negatif
apnya berat masuk kode tarik tunai beratlebih force close rilis sampe samatolong baru ringan suport hp low endentry level saran tarik setor tunai kartu debit baik gratis,positif
acara klik masuk input pin langsung pas buka langsung masukin pin bintang mudah user,positif
mudah bayar,positif
hepi sangat recomended,positif
mudah transaksi,positif
god,positif
mantan gan,positif
bagus,positif
bagus potong bulan sistem dompet nabung ok belanja butuh console ok bagus deh pokok sahabat,positif
bantu dompet digital,positif
aplikasi lambat,negatif
buah jatuh pohon is the best anak so the best choice salam sukses tuhan kati,positif
fiturnya bagus sayang lambat,positif
mempermudahtapi rada transaksi,positif
sukak terima kasih,positif
bagus kini anak muda baru sukses,positif
bagus,positif
bagus,positif
bagus praktis,positif
ok,positif
gog,positif
eror mulu kelas ck ck ck,negatif
kadang loadinglogin kalo buru,positif
gampang byk cashback,positif
bagus,positif
uenak pol kirim gratis,positif
nyoba moga bagus,positif
min suara notif,positif
bantu,positif
bikin hp lemot,negatif
baik sistem lambat masuk banget tf banget proses tf nungu tbtb salah suruh restart repeat sekian kali capek banget tf doang nunguin jam,negatif
bagus aplikas bagus,positif
bagus,positif
dunia gengam mudah powered by server costumer service layan responsif tampil simpel mudah erti,positif
tarik uang tambah saving,negatif
love tf bebas admin,positif
cepat dlam tangan sip banget,positif
okecuman kadang respownya lambat fitur bagus,positif
bagustapi sayang lambat banget masuk,positif
tambah option bayar qris oke,positif
bantu,positif
god job la the best,positif
ui bagus lambat jalan aplikasi,positif
bagus,positif
ko buka pakai kali log in otomatis pedahal transaksi hambat,positif
buka,negatif
berat hp,negatif
ok banget pakai,positif
bagus moga sukses program promo diskon payment onlineofline,positif
apknya mudah erti ribet,positif
mudah,positif
fitur mudah save tabung dapet bunga tim klo upgred fiturnya jgan bikin sulit biar mudah makeknya,positif
hapy mudah bayar,positif
bantu butuh bunga kompititif smoga layan slu,positif
uninstal,negatif
suda bagustapi bagus kalo tampil barcode pembayarandan respon responsif mesti kali kali klik merespon kliksemoga depan baik,positif
bagus,positif
puas bantu dwngan mudah,positif
selamat sukses kembang aplikasi aktifasi tgl cuaca hujan berkat sukses tangung,positif
bantu banget manajemen uang,positif
cepat bebas biaya admin,positif
maf yah aplikasi kalo buka lambat,negatif
ok,positif
lengkap syarat tpi ac kurang mana pdhl dapat pinjam sya nasabah tutup rekening akunmalah suruh bayar,negatif
bagus,positif
sayang paylater,positif
ny bagus pindah aplikasi delay berat gitu moga atas,positif
transaksi suka gagal,negatif
kesini cinta blue,positif
daftar ribet sulit rantau niat nabung repot proses,negatif
buru ngisi token listrik shpay tau potong pas hasil kirain admin cantum rincian total transaksi kecewa,negatif
maf x daftar gagal pas foto e ktp foto foto terang tolong orang berkalikali gagal nomor email gagal pas foto e ktp,negatif
aman mudah,positif
aplikasiny cakep,positif
berat tolong baik min tingkat tambah fitur jual beli emas,positif
lumayan,negatif
mudah nyaman,positif
bintang mohon maf bagus tampil bagus berat hp loadingnya lambat,positif
super lambat,negatif
layan puas,positif
bagus,positif
ok banget blubca,positif
transfer cepat god,positif
sya kerja wifi transaksi alas by no suport wifi,positif
percaya,positif
asalamualaikum kaka buka apalikasinya mohon bantu kakak,negatif
bantu transfer bebas biaya puas bantu jaga layan tingkat fitur terima kasih,positif
god,positif
ok,positif
bagus,positif
i like,positif
bagus,positif
bagus bantu,positif
guna simpel mudah,positif
setor tunai via atm kena biaya ambik tunai kena biaya group kena biaya sedia atm nasabah kena biaya mau untung investasi,negatif
aps lambat buruk klo buka,negatif
sukses nyaman hapeku pakai,positif
bagus,positif
mudah proses buat bludepit card proses buat rekening gampang,positif
sip bagus,positif
bagus,positif
kendala masuk jaring putus aplikasi jaring stabil coba jaring seluler wifi coba bersih cache atas menginstal ulang normal,positif
terima kasih vocer kopkenya,positif
ok,positif
mudah transaksi transfer teman,positif
praktis bagus,positif
tarik tunai transfer bagus up emoney notifikasi spam putus jelas masalah indikasi gelap uang nasabah,negatif
suka blue,positif
god menu pinjeman tolong muncul,positif
akun masuk,negatif
ribetudah vc kasih e ktp tolakjelas nasabahapk guna,negatif
pas daftar pas cal cs hubung cuman tungu musik tungu banget tetep sambung cs,positif
server lambat,negatif
vermuk gagal sesuai arah jatingan stabil penvahayan bagus emang babi,positif
ribet registrasi doang,positif
proses video cal verifikasi buruk bisabisa jaring normal coba wifi,negatif
bentar baru,positif
banget nungu csnya antri anjang csnya tambah,positif
lambat banget,negatif
bagus,positif
online praktis,positif
bagus,positif
bagus,positif
moga lbh mudah nyaman guna,positif
sangat membantu tengkyuh by,positif
ok punyacepat trnsaksinyadan bnyak pitur pilihanya,positif
praktis,positif
nomor handphone hilang akun saldo hilang wajah deteksi milik akun blue kecewa penting verifikasi nomor handphone verifikasi wajah,negatif
bagus moga sukses,positif
ok muas,positif
mudah n cepat,positif
tf ngabisa ngapain hari ditunguin orang tfnya jam solusi alas jaring updatelah coba pakai bniwonder tmrw saqubank seabank responsif bikin lapor terus email teros solusi kelas kek gin,negatif
saran min aktivasi bikin ribet pakai video cal customer service sesuai dompet,positif
bagus mudah urus transfer mudah bebas biaya oke,positif
aplikasi lambat berat bagus up emoney kali gagal coba kali hasil kelas,positif
bagus,positif
bagus,positif
lambat banget tolong baik,negatif
transaksi transfer biaya adm gratis,positif
mudah,positif
moga aman,positif
aplikasi lambat berat banget jaring lancar tolong baik,negatif
bagus pas baru lambat bgt,positif
butut,negatif
narik tunai admin tarik tunai sesuai nominal narik x check gara gara biaya admin internet lancar trouble internet,positif
banking baik,positif
bagus,positif
aplikasi lambat banget najis abis baru buruk kalah konvensional,negatif
ok banget,positif
guna rasa berat transaksi,negatif
bagus sih baru mulu tiab,negatif
nang bagus suruh nungu,negatif
aplikasih transfer gimna transfer,negatif
buruk isi shope pay masuk hapus,negatif
mudah,positif
lebih by bagus suka fitur bagi tabung kurang aplikasi berat banget loading tap responsif x x tap mohon developer perhati bug kurang by moga cepat baik sembari tungu baik developer nilai bintang terima kasih,positif
ku tarik tunai gratis sekali batas kena admin rp loyalty batas kali fitur tabung pisah bagus,positif
bagus byk promo pakai blubca,positif
bobol transaksi tahu x ganti debit,negatif
mantaps,positif
bagus,positif
bagus,positif
sip mudah transansi,positif
aplikasi lambat masukin pin transisi menu loadingnya abad,negatif
uang hilang transfer blue terang hasil uang masuk rekening,negatif
sih gabisa transfer gangu,negatif
bagus,positif
ok banget,positif
bagus,positif
bantu bentuk transaksi pokok aplikasi bagus,positif
keren pis ieu mah aslina,positif
mudah usaha kuliner online,positif
lancarlancar pakai blue sempet log out garagara hp eror komplen cs bantu mutermuter jelas sayang pdhl cetak kartu fisik,negatif
aplikasi bagus banget nabung dikitdikit mikirin pajak bulan berat suruh baru,positif
bantu banget bro terima kasih,positif
thankyou,positif
wow,positif
modern,positif
ok,positif
terima kasih pakai akhirakhir tarik tunai reward enak potong adminya transfer murah reward tahan rewardnya biar biaya admin gratis,positif
tolong aplikasi ringan seabank cepat ketimbang blue,positif
bagus,positif
min baru terima kasih,negatif
bagusmemudah berivestasi,positif
bagus,positif
dikit dikit baru bulan baru fitur habisin memori doang pakai kalo baru,negatif
sunguh berat,positif
suka suka,positif
baik,positif
baik nabung bayar,positif
user interface handphone lambat jaring bagus simpan handphone penuh tolong baik user interface guna handphone transaksi qris tungu buka qris scan barcode terimakasih,positif
lambat bagus,positif
smoga kdpan ny,positif
bantu,positif
y bagus cuman lambat aja,positif
amanaman sih nyimpen uang ui kakulemot banget bikin nyaman,positif
tawar tarik,positif
by best,positif
bagus kurangny kode qr,positif
bagus reward biaya admin,positif
bagus,positif
sumpah mbanking lot pakai mo byr pakai qristf luama bener loadingnya pdhl sinyal kenceng bye pakai,negatif
kasih masuk kalo tari tunai setor tunai ad biyaya admin lumayan x tari potong gratis tari x tlong evaluasi lambat transaksi ushakan tf tarik tunai gratis,positif
baru berubahnyusahin,negatif
tolong kak tari tunai admin terima kasih,positif
kali baru kurleb pakai,negatif
bagus cocok lambat,positif
bagus lambat,positif
asli rekomen banget ken susah tabung kayak fitur kantong bantu mudah misahin tabung tata meminimalisir kepake butuh alias minim boros,positif
tingkat performa ngerespon kalo pas d pijit menu aka lambat,negatif
bagus,positif
mudah simple bebas biaya,positif
god,positif
iklan bunga pas aju aprove bunga kecewa pinjam,negatif
bagus nih oke simpan uang kalap,positif
bagus bagus,positif
bagus bantu butuh loading transaksi masuk,positif
bintang lambat lebih ok ngebantu banget transaksi hari,positif
bgus sngt guna bnget,positif
mohon uiuix experience baik tongak nyaman user salah satu mudahcepat berat segi klik menu,negatif
ok,positif
bagus banget,positif
alhamdulilah baik bintang respon tim cpat atas alami terimakasih,positif
bagus aplikasi berat,positif
loyalty gajelas hitung blupro saldo atas jt newbie aneh mending pakai,negatif
kadang suka nge bug,positif
cepat,positif
kecewa saldo hilang notif transaksi hasil saldo masuk rekening terima aju respon muas maf silah cek kala,negatif
haous biaya tarik tunai,positif
bantu,positif
tolong tim kembang cuman reward interface bagus doangbackend baik kek ginijaringan bagus suruh masuk ulang mulupas jaring buruk pakai transfer dl,negatif
bagus,positif
tolong tingkatin server biar lambat,positif
god,positif
tolong adain fitur pilih rekening pas transfer acount bisnis ken fitur biar rekening bisnis beneran biar ush pindah saldo,positif
coba kembang kasih notif pop upbatau apa kalo bi fast gabisa pakai pas tengah transaksi gara gada notif tengah transaksi duit anak buah orang masuk rekening kasi anak buah gabisa makan sampe nungu duit cair,negatif
cs susah dihubungin kaya respon cepet,negatif
transfer saldo masuk rekening terima cek mutasi saldo potong hilang saldo nominal,negatif
langsung uninstal gara transfer uang masuk saldo potong takut kapok,negatif
selesai cepat tengkyu,positif
transaksi masalah beda mybca ngerti digitalisasi nyata seamles mybca payah,negatif
bgus dihpku lambat banget tolong plis lambat ngeluh,negatif
bagus,positif
lambat buruk gila mo bayar lambat banget perbaikin tuh antri mo qris kesel smpe ngantri garanungu antri pakai blue gila hapus dh gamao pakai blue qris bkin malu antri gila,negatif
jaring internet wifi sped mbps jaring program berat servernya lambat,negatif
bagus pokok dah,positif
pakai mudah,positif
bagus,positif
trimakasih mudah transaksi,positif
loadingnya lumayan kali buka,negatif
penuh butuh guna fitur mudah no complain kurang buton tekan responsif lambat scrol navigasi halaman moga baik,positif
nice walet,positif
saran tim bisnispartnership bcad coba gandeng bibit fitur bebas fe topup akun rdn bibit,positif
instal aplikasi butuh kuliah ambil gambar pribadi proses buat akun mohon arah,negatif
ok,positif
akun buka,negatif
bagus aplikasi bantu sekalisegala kendala lumayan baik,positif
bantu,positif
gampang banget depan moga kurang wktu log inya biar lambat,positif
eror,negatif
bagus saran setor tunaitarik tunai atm limit,positif
susah sih daftar foto selfie isi data deteksi wajah kamera,negatif
bagus,positif
beli pulsa bluyg uang doang layang,negatif
aplikasi berat lambat nonton youtube k lancar main game berat lancar buka nih lot ampun loading masuk detik next baru berat aplikasi paksa alih ringan,negatif
perban smart saldo transfer nol limit mudahamandan pasti lengkap debit card bravo,positif
coba aman tabung,positif
animasi kadang bikin berat overal oke,positif
bafus,positif
lambat banget,negatif
masuk nomor aktif,negatif
mntap,positif
god,positif
mantap praktis transfer bayar gratisanya,positif
mantap dapet promo bagus up ama tf keman gratis,positif
love banget pakai sat set,positif
developer sedia aman otp via whatsap email sms babi,negatif
overal ui fitur bagus sayang banget aplikasi berat nih baik kyaknya biar ringan kyak mybca tuh contoh pindah menu menu kalo berat ux,positif
ok,positif
berat banget asli baik yak min,negatif
thank you,positif
masuk suruh daftar emang,negatif
bantu,positif
kurang bintang ubah kelas lambat ajar induk usaha fyi aplikasi baru jaring aman orang bodoh min badingkan mybca devide jaring,negatif
blue,positif
tolong ringan mbca min,positif
moga lancar,positif
kecewa akun hilang tai,negatif
bner oke sih pokok jos deh qris nih biar enak share share qrisnya bayar,positif
alur lupa pasword susah wajah deteksi data masuk susah ew,negatif
pakai untung biaya adminpertahankan,positif
god,positif
bagus bantu,positif
tingkat promo terbaiknyasukses blue,positif
masuk pakai sidik jari mobile banking lancar tuh,negatif
serba praktis,positif
kasih bintang aju pinjam tolak ganti bntang aju ac,negatif
buruk pinjam,negatif
saran transaksi cepat aplikasi berat lambat,negatif
layan cal cs beudpadah udahbantrian sampe menit an darib menit,negatif
mantap,positif
bagus nyala,positif
sebenernya bagus lambat,positif
ok,positif
bagus baru,positif
promo diskon makan minum biar guna terima kasih,positif
tingal aplikasi snapy alias gercep lambat tolong baik performa,positif
aplikainya lmayan berat,positif
praktis,positif
kecewa terima transfer mata uang asing usd euro,negatif
nice,positif
sumpah asik banget pakai serba fleksibel setor tunai kartu admin jangkau keren by terima kasih,positif
kecewa kartu debit tunda lacak kartu debit eh tahan abang kurir jne cek cok bang kurir ngak amanah layan kasih bintang terima kasih moga depan nasabah,positif
bagus super beratjadi mangkrak pakai lagikalo potong langsung dana masuk ribet dana ngepres transaksi dana masukeluar susah,positif
nyaman,positif
txn cepat,positif
bantu,positif
god,positif
simple atur keluar nabung ngena banget pakai poko oke suka,positif
berat banget buka banget scan qris transfer tolong baik fitur bagus terima kasih,positif
i like it,positif
bagus,positif
bagus,positif
konfirmasi hapus data pribadi,positif
bagus moga tatap lancar tambah fitur baru,positif
rekening blue buka sekuritas,positif
mudah guna terima kasih,positif
bagus,positif
tungu proses buka rekening tungu jam selesai,negatif
aplikasi lambat parah bagus up kena adm,negatif
kesan okeh mudah kirim kartu cepat instal jumat langsung kirim al in rek layan lgrtgs wek end tarik jam oprasional hiks senin jam ngebalikin dana pakai layan lg dana langsung masuk mohon bahan evaluasi sedih wekend sampe senin narik,positif
bagus pakai asa aman nyaman terima kasih,positif
kaga tombol masuk,negatif
bagus bantu,positif
bagus,positif
bagus harap fitur generate qr code qris bayar scan,positif
trimah kasih bantu transaksi lancar,positif
bantu depan tambah fiturfitur ungul,positif
berat lambat,positif
lambat beratpuyeng pakenya,negatif
gampang praktis,positif
berat banget ubah device ramrom gede payah bikin emosi dana dipake,negatif
foto suruh pegang ktp bawah dagu takut pinjol doang,negatif
pakai promosi kampus nyaman fitur bagus blusaving misahin uang rekening mudah atur uang terima kasih,positif
suka transfer mana bebas biaya admin guna tau limit gratis transfer brp kali transaksi,positif
mudah menu suka adl saving bagi kelompok,positif
rekomendasin deh bnyk banget bug lambat bayar kopi kenang pakai saldo potong masuk kopi kenang cs proses sory bnyk benahin,negatif
suka banget stelah abai banding drngan nyaman asik kren apa luah respon cepat saran moga depan tarik tunai alfamaret indomaret biar gen z pelosok pelosok sangan jarang temu atm saran moga depan mendapatnkan qris scan orang men scan qris orang,positif
produk emg best,positif
god,positif
serba lambat buka lambat input pas lambat qris lambat tf lambat tahap gangu banget pas transaksi pdhl lancar jaring lancar,negatif
lambat koneksi aman,negatif
bagus,positif
ok,positif
bgaimna ni kunci lyar msih blum msuk,negatif
ok,positif
aplikasi bagus pas verifikasi vc telernya yalah mlh ketawa ngobrol sma orang samping pegawai kaya gni,negatif
bagus,positif
ribet reset pw lampu gede gaban ae gabisa,negatif
baik setor tunai atm mana,positif
ok,positif
manfat payment hari procesing mudah cepat terima kasih,positif
kali tarik tunai amanlha tarik tunai blankcm muncul layar putihmuser,positif
ui berat,negatif
kecewa layan cs wktu sesi vc cs salam mati belah,negatif
masuk verikasi wajah ratus kali bikin emosi,negatif
knpa masuk signal bagus memo penuh slalu gagal masuk aplikasi,positif
bagus,positif
okehanya tolong baik masuk loadingnya transaksi qris bgtumsalah loadingnya,positif
moga bagus,positif
masuk aplikasi,positif
mudah berinvestasimantap,positif
bunga nambah cepet gunain nabung nama bagus,positif
hore jual beli valas fitur suka banget nihthanks rekening valas kait kartu debit biar kalo transaksi luar negri pakai debit mata uang lokal nabung valas bagus,positif
baik,positif
god job,positif
eror muncul hp hapus jugak,negatif
masuk gagal transaksi,negatif
simple ok,positif
baik group,positif
saran blutens beli rekening cantik beli blubisnis guna pisah dana masuk fitur bisnis minim kalah bluacount autodebit tf rekening guna buka rekening blubis fitur tutup acount manual lebih kurang denga review guna bintang moga bagus depan,positif
god,positif
god,positif
gblkgua daftar masuk njirpihak tangung asu,negatif
super lambat cocok transaksi pakai qr cocok jenis transaksi online,negatif
bagus,positif
tolong min aps fix lambat banget pindah menu akses pin,positif
moga depan bagus fitur,positif
proses klaim tabung nasabah wafat,negatif
kalo kantor cabang kota kalo komplain me nanya mudah efisien,negatif
oke banget si worth it bust cari m bangking mudah,positif
pakai qris x nyangkut dana potong rekening dana masuk merchant cs bilang maintenance cs blg blgnya signal pdhl signal ok banget bilang maksimal dana masuk x jadi takut taruh dana maf ok transfer gratis brp layan jg fre admin walupun suka lambat aps,negatif
mantaps enakeun pokok namah,positif
topup e walet gratis tnpa biaya admin,positif
god,positif
fasilitas tabung emas elektronik bebas biaya deposito dolar bunga kompetitif,negatif
mending klo mw nyimpen ato mw transaksi dblu aj proses cepat anti lambat pling aman bagus,positif
ui mudah kini,positif
suka bikin mudah nabung bikin pos pos sendiri tabung tolong tu lambat banget kalo buka lambat berat tolong baik sinyal kenceng memori hp aman berat banget buka pindah menu nungu tolong baik,positif
dempet recomended,positif
susah vermuk,negatif
bagus simplecuman kaya delay gt si,positif
aplikasi berat lambat masuk hri masuk tf bayar susah wa halo masuk jgmaf skr kasi bintang,negatif
coba nih bluetoth by,positif
mohon tambah fitur tampil qr transaksi scan kasir,positif
tolong baik loading kadang alu signal bagus tombol pin pas pencet idikator biru tolong ganti getar ama pasu pin baca tombol pecet warna tosca terimakasih,positif
bagus manfat,positif
aplikasi bagusmudah alangkah baik setortarik uang atm potong tambah daya nasabah tabung rekomendasi orang,positif
lambat banget action loadingnya super,negatif
sukses blue by bva,positif
mudah pakai,positif
mudah transaksi z,positif
bintang akun pas mw masuk diribet vermuk,negatif
maf buka tulis buka device lancar lancar mohon bantu,positif
transaksi mudah aktivasinya langsung hp langsung aktif e ktp,positif
lanjut,positif
aplikasi berat responsit kayak ringan mudah responsif tolong perbaikin,negatif
mg bagus,positif
aplikasi bagusmembantu stiap baru sulit buka bentr baru,positif
suka topup coba transaksi sayatransaksi jalan langsung cashbacknamun jalan lambat harap moga depan tingkat biar satset transaksi,positif
otp masuk,negatif
transfer isi saldo e walet mulu hapus cache hapus instal ulang trfuang kluar tolong baik kembang aplikasi,negatif
baru ngupdate maksud gmna,negatif
bagus beli kopken cahsback,positif
layan fitur fleksibel mudah mudah pakai,positif
aj instaludh ko mlah buka gmna sihgiliran uninstal mlah suruh bikin kn ribet,negatif
kasih bintang lambat bangetmau tf ngak coba kali tolong baik sistem terkadang orang urgent pakai uang,negatif
buruk,negatif
kena potong biaya bulan pakenya jg gampang recomended,positif
bantu cepat fleksibel bagus,positif
bagus,positif
oke sih,positif
transaksi lancar mudah,positif
senang kecewa bayar qris merchant nge lambat back apnya bayar debit dana tarik dua qris debit aplikasi lancar berat loading bintang naik,negatif
mohon maf min ksh jujur lambat banget aplikasi situasi desak serba sat set duh responsif kelas usaha kalah tolong terus baik min tampung saran kritik terimakasih,negatif
masalah muli,negatif
kasih masuk dui bas juta aplikasi transaksi tolong baik,negatif
kecewa layan cs fast respond baik moga,positif
aplikasi bagus suka tangal september transfer mohon info,positif
edit ratingnya bintang kesini gada ubah baru tetep perbaikin utama berat transfer masuk banget kalah ama kaya seabank kecewa banget kelas kaya gin,negatif
coba daftar vidio cal cs banget nungu rusak nama banget,negatif
bagus,positif
bagus,positif
bagus,positif
bagus,positif
bagus,positif
lanjut,positif
aplikasi lemot banget,negatif
lambat banget,negatif
busuk pakai banget uang transfer cal halobca selesai lampau ribet akses gangu sumpah pakai pakai busuk saran pakai sempet pakai belah sana temu gangu apa slm thn,negatif
gajelas gangu mulu,negatif
susah sinyal buruk dikit buka tarik tunai nungu abad,negatif
benerin aplikasi kirik kunyuk,negatif
kesini lambat banget,positif
force close buka apnya takut,negatif
bantu,positif
aplikasi berat bangetbuat buka butuh nungu menu utama,negatif
mantap digital,positif
mudah guna bagus,positif
bagus,positif
bagus,positif
oke banget,positif
recoment akun beku tau jelas,negatif
transaksi apa gampang serius nasabah tetep pakai bagus,positif
ribet proses ktp baca ama siatem bilang kecewa layan rekomendasi jaman ktp tingal cek rekomendasi,negatif
bagus,positif
cup of cup coin,positif
sulit buka loading susah bkin emosi transfer tarik duit ngebuka banget banget enak pakai mbca,negatif
berat kali pencet fitur delay lumayan,negatif
bagus pakai admin kirim apa bantu,positif
bagus,positif
loadingnya pas topup sopay oren potong blue rewardsnya malesin banget tolong baik topup dana aman kalo baik edit ratingnya,negatif
jujur tahun pakai bunga pa blusaving blugether jangka tahun bulan hari,negatif
lapor sekian kali tungu kerja gara gara nelepon hari kerja nerima telepon kerja rela saldo ikhlas moga berkah wahaiblu,negatif
bagus mudah cepat,positif
puas,positif
god,positif
bagus serba mudah ok deh,positif
oke banget praktis fiturnya,positif
aneh buat rekening beda pakai hijab sulit,negatif
transaksi mudah trf gratispengunan mudah,positif
mudah praktis ribet,positif
buruk bagus up flaz masuk saldo hilang,negatif
gokil deh pakai kembangin boskuh,positif
suka banget,positif
cepat proses,positif
untung nabung enak tolong baik runing aplikasi lambat gangu masukin pin delay edit baru lambat buruk apnya tolong baik kalah sabank sih min kalo baru lakuin kalo baru apnya pakai,negatif
simpel praktis moga aman,positif
proses cepat praktis,positif
oke banget,positif
ui enak simple berat kayak livin by mandiri buka cepet pakai acara lambat gitu the best tolong jaga konsisten kayak gin terima kasih,positif
suka banget bikin rekening gampang transaksi gampang kantong luv banget,positif
ok dah,positif
berat buka loading ny kalo ky mbca dbuat lambat loading nyini kalo urgent cocok cepet mbca,negatif
q kasih fulbintang mudah maka aman,positif
ok,positif
siap set set set,positif
buntang ade sesuatusaya suka cashback qris kartu gratis kirim suka gratis biaya admin perbulangratis tarik tunai kuota tolong lancar berat kuota gratis tf tarik tunai terima kasih,positif
barubaru info coba download rekening asli puas mudah transaksi kirim uang beda biaya admin bagus up ewalet biaya admin potong bulan tarik setor tunai atm virtual card debit cardnya gratis kirim alamat tampil aplikasi simple kini cocok anak muda best,positif
sat genting paksa baru kalo baru kasih notif ajalah gausa pakai gabisa buka baru kalo memori penuh butuh hapusin file ribet butuh bayar tarik tunai setor tunai apa kartu ribet pokok mending pakai,negatif
suka ribet mudah,positif
