content,score,at,thumbsUpCount,replyContent,final_content,tokens_stemmed
"lemot parah,bikin pusing",2,2025-05-29 19:50:39,0,"Hai, Kak Uli. Maaf atas ketidaknyamanannya. Kami akan selalu terus memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu. Terkait kendala tersebut pastikan Kakak menggunakan aplikasi blu versi terbaru, pastikan setting waktu di handphone menjadi otomatis, jaringan internet lancar dan stabil serta tidak menggunakan jaringan WiFi.",lambat parahbikin pusing,"['lambat', 'parahbikin', 'pusing']"
"gk jelas, daftar gk bisa",1,2025-05-29 19:48:06,0,"Hai, Kak Rizqi. Maaf atas ketidaknyamanannya. Terkait kendala tersebut boleh kirimkan gambar kendalanya ke X @haloblu atau email haloblu@bcadigital.co.id agar kami bisa bantu lebih lanjut ya.",daftar,['daftar']
semoga amanah dan terpercaya,4,2025-05-29 19:38:55,0,"Hai, Kak Serli. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Kakak nggak perlu khawatir kegiatan operasional BCA Digital diawasi OJK serta dijamin oleh LPS ya.",moga amanah percaya,"['moga', 'amanah', 'percaya']"
LEMOT ANJER,1,2025-05-29 17:07:10,0,"Hai, Kak Muhammad. Maaf atas ketidaknyamanannya. Kami akan selalu terus memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu. Terkait kendala tersebut pastikan Kakak menggunakan aplikasi blu versi terbaru, pastikan setting waktu di handphone menjadi otomatis, jaringan internet lancar dan stabil serta tidak menggunakan jaringan WiFi.",lambat anjer,"['lambat', 'anjer']"
"Nyuruh foto ktp, udah difoto bener bener masih ga bisa juga, ""pastikan hasil foto tidak terpotong"" Mulu, padahal posisi sudah pas dan benar.",1,2025-05-29 16:50:43,0,"Hai, Kak Rafhael. Maaf atas ketidaknyamanannya. Terkait kendala tersebut boleh kirimkan gambar kendalanya ke X @haloblu atau email haloblu@bcadigital.co.id agar kami bisa bantu lebih lanjut ya.",nyuruh foto ktp foto pasti hasil foto potong mulu posisi pas,"['nyuruh', 'foto', 'ktp', 'foto', 'pasti', 'hasil', 'foto', 'potong', 'mulu', 'posisi', 'pas']"
belajarlah dari KROM BANK Banyak fitur Tapi tidak Lemot,1,2025-05-29 15:57:48,0,"Hai, Kak Sugeng. Maaf atas ketidaknyamanannya. Kami akan selalu terus memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu. Terkait kendala tersebut pastikan Kakak menggunakan aplikasi blu versi terbaru, pastikan setting waktu di handphone menjadi otomatis, jaringan internet lancar dan stabil serta tidak menggunakan jaringan WiFi.",bajar krom fitur lambat,"['bajar', 'krom', 'fitur', 'lambat']"
LEMOT BANGET SAAT MAU LOGIN ATAU TRANSAKSI APAPUN!!,3,2025-05-29 15:35:02,1,"Hai, Kakak. Maaf atas ketidaknyamanannya. Kami akan selalu terus memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu. Terkait kendala tersebut pastikan Kakak menggunakan aplikasi blu versi terbaru, pastikan setting waktu di handphone menjadi otomatis, jaringan internet lancar dan stabil serta tidak menggunakan jaringan WiFi.",lambat banget masuk transaksi apa,"['lambat', 'banget', 'masuk', 'transaksi', 'apa']"
"Aplikasi Dengan Pelayanan Terburuk! kenapa saya kasih bintang 5? supaya di letak komenan teratas,buat yg mau download mikir2 lagi deh.apalagi CSnya Sombong Sekali setiap Video Call pasti di putusin sama CS cewek.Pas sudah Scan Wajah dan KTP pembukaan rekening Malah Gagal Terus Datanya Itu kemana?Jika Data saya di salahgunakan Maka saya tidak Bertanggung Jawab.terima kasih",5,2025-05-29 15:01:31,0,"Hai, Kakak. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",layan buruk kasih bintang letak komenan teratasbuat download mikir dehapalagi csnya sombong video cal putusin cs cewekpas scan wajah ktp buka rekening gagal data kemanajika data salahgunakan tangung jawabterima kasih,"['layan', 'buruk', 'kasih', 'bintang', 'letak', 'komenan', 'teratasbuat', 'download', 'mikir', 'dehapalagi', 'csnya', 'sombong', 'video', 'cal', 'putusin', 'cs', 'cewekpas', 'scan', 'wajah', 'ktp', 'buka', 'rekening', 'gagal', 'data', 'kemanajika', 'data', 'salahgunakan', 'tangung', 'jawabterima', 'kasih']"
"aplikasi blu sangat keren, namun aku maus request untuk pengajuan blu ekstracash bisa diadakan di Kota Padang min. Karena aku sangat butuh blue ekstracash 🙏",5,2025-05-29 13:19:30,0,"Hai, Kak Minato. Terima kasih atas saran dan masukan yang diberikan, saat ini untuk wilayah Kota Padang belum bisa Kak. Namun untuk saran yang Kakak berikan kami bantu tampung dahulu, mohon menunggu inovasi selanjutnya dari blu ya Kak.",bagus maus request aju ekstracash ada kota padang min butuh blue ekstracash,"['bagus', 'maus', 'request', 'aju', 'ekstracash', 'ada', 'kota', 'padang', 'min', 'butuh', 'blue', 'ekstracash']"
masa promo di batasin. udah tiap awal bulan mau klaim promo habis mulu. nyesel buat kartu ini. udah buat bayar kartu 50rb.,1,2025-05-29 12:39:02,0,"Hai, Kak Haicel. Maaf atas ketidaknyamanannya. Perihal tersebut, mohon kesediaan Kakak informasikan lebih detail promo yang dimaksud melalui DM X @haloblu, agar dapat kami informasikan lebih lanjut.",promo batasin klaim promo habis mulu nyesel kartu bayar kartu rb,"['promo', 'batasin', 'klaim', 'promo', 'habis', 'mulu', 'nyesel', 'kartu', 'bayar', 'kartu', 'rb']"
"terlalu lemot buat buka aplikasinya, mau scan qris biar cepet harus nunggu lama kebanyakan loading animation yg kotak kotak yg sebenernya ga terlalu dibutuhin aja si, bad user experience👎",1,2025-05-29 12:23:30,4,"Hai, Kak Rizki. Maaf atas ketidaknyamanannya. Kami akan selalu terus memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu. Terkait kendala tersebut pastikan Kakak menggunakan aplikasi blu versi terbaru, pastikan setting waktu di handphone menjadi otomatis, jaringan internet lancar dan stabil serta tidak menggunakan jaringan WiFi.",lambat buka aplikasi scan qris biar cepet nungu banyak loading animation kotak kotak sebenernya dibutuhin si bad user experience,"['lambat', 'buka', 'aplikasi', 'scan', 'qris', 'biar', 'cepet', 'nungu', 'banyak', 'loading', 'animation', 'kotak', 'kotak', 'sebenernya', 'dibutuhin', 'si', 'bad', 'user', 'experience']"
bagus tingkat kan bos que keaman na nya .sukses terus,5,2025-05-29 12:13:00,0,"Hai, Kak Agus. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",bagus tingkat bos que aman na sukses,"['bagus', 'tingkat', 'bos', 'que', 'aman', 'na', 'sukses']"
"Sejauh ini bagus sih, tapi tolong Apk nya dibenerin lagi soalnya ini apk terkesan berat banget lama loadingnya",5,2025-05-29 11:26:00,1,"Hai, Kak Septohadi. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",bagus sih tolong dibenerin kes berat banget loadingnya,"['bagus', 'sih', 'tolong', 'dibenerin', 'kes', 'berat', 'banget', 'loadingnya']"
saya udah transaksi ratusan juta dblu tapi giliran mau coba pinjaman udah 2x ditolak dan itu jumlah kecil sekarang mencoba lagi yang ke 3..dan itu lama vrepikasi hasil ditolak apa engga nya,3,2025-05-29 09:14:40,0,"Hai, Kakak. Maaf atas ketidaknyamanannya. Ada beberapa hal yang menyebabkan pengajuan pinjaman Kakak ditolak, salah satunya Kakak belum sesuai dengan kriteria debitur Bank BCA Digital. Jika Kakak sudah pengajuan bluExtraCash kembali maka dalam keadaan normal pinjaman akan dikonfirmasi dalam waktu 1 hari kerja. Kakak dapat menunggu terlebih dahulu.",transaksi ratus juta dblu gilir coba pinjam x tolak coba vrepikasi hasil tolak,"['transaksi', 'ratus', 'juta', 'dblu', 'gilir', 'coba', 'pinjam', 'x', 'tolak', 'coba', 'vrepikasi', 'hasil', 'tolak']"
blu mantap,5,2025-05-28 19:42:42,0,"Hai, Kakak. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",bagus,['bagus']
ini kenapa ya tiap aku downlod apk bca blu selalu gabisa ? tp dihp lain bisa sedangkan hpnya yg ak buat download ini bukan hp jadul/ keluaran yang terlalu usang,2,2025-05-28 19:25:46,0,"Hai, Kak Naffa. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik kebutuhan perbankan Kakak. Terkait kendala tersebut boleh kirimkan gambar kendalanya ke X @haloblu atau email haloblu@bcadigital.co.id agar kami bisa bantu lebih lanjut ya.",downlod gabisa dihp hpnya ak download hp jadul keluar usang,"['downlod', 'gabisa', 'dihp', 'hpnya', 'ak', 'download', 'hp', 'jadul', 'keluar', 'usang']"
gapernah gagal bca,5,2025-05-28 16:56:41,0,"Hai, Kak . Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",gapernah gagal,"['gapernah', 'gagal']"
apl tai,1,2025-05-28 13:35:15,0,"Hai, Kakak. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik kebutuhan perbankan Kakak. Mohon kesediaan Kakak informasikan lebih detail kendala yang dialami dan kirimkan gambar kendalanya ke X @haloblu atau email haloblu@bcadigital.co.id agar kami bisa bantu lebih lanjut ya.",apl tai,"['apl', 'tai']"
sukseees slalu blu....karnamu segalanya menjadi lebih mudah. aku tunggu fasilitasmu lebih banyak lg.. makasi,5,2025-05-28 08:56:40,0,"Hai, Kak Fiena. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",sukses slalu blukarnamu mudah tungu fasilitas terima kasih,"['sukses', 'slalu', 'blukarnamu', 'mudah', 'tungu', 'fasilitas', 'terima', 'kasih']"
"di iklan mah bagus, eeh pas ngajuan ttp aja di tolak",1,2025-05-28 07:20:34,0,"Hai, Kak Andri Syafei. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik kebutuhan perbankan Kakak. Mohon pastikan perangkat sudah update versi terbaru dan jika ada hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam). 😊",iklan mah bagus eh pas ngajuan tp tolak,"['iklan', 'mah', 'bagus', 'eh', 'pas', 'ngajuan', 'tp', 'tolak']"
bagus banget,5,2025-05-28 05:57:39,0,"Hai, Kak Roy Adhika Putra. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",bagus banget,"['bagus', 'banget']"
"Lebih ditingkatin lagi yah kak. buat log in aja lamanyaaa minta ampun, masih lemot buat ini-itunya untuk org yg sat set kyk aku XD",3,2025-05-27 17:46:21,1,"Hai, Kak Reyya. Maaf atas ketidaknyamanannya. Kami akan selalu terus memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu. Terkait kendala tersebut pastikan Kakak menggunakan aplikasi blu versi terbaru, pastikan setting waktu di handphone menjadi otomatis, jaringan internet lancar dan stabil serta tidak menggunakan jaringan WiFi.",ditingkatin yah kak log in lamanya ampun lambat initunya orang sat set kyk xd,"['ditingkatin', 'yah', 'kak', 'log', 'in', 'lamanya', 'ampun', 'lambat', 'initunya', 'orang', 'sat', 'set', 'kyk', 'xd']"
trmksh ok layanannya,5,2025-05-27 15:12:58,0,"Hai, Kak Ganda. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",trmksh ok layan,"['trmksh', 'ok', 'layan']"
"saya sudah instal tapi ga jadi buat akun,ngeri banget soalnya harus foto sambil pegang KTP takutnya data saya di salah gunakan buat pinjol,cari aman aja deh. saran ku ga perlu lah segala pegang KTP gitu toh bank lain juga ga ada tuh yang kaya gitu",1,2025-05-27 09:49:57,0,"Hai, Kak Dede. Maaf atas ketidaknyamanannya. Kakak tidak perlu khawatir data Kakak tetap aman. BCA Digital sudah berizin dan diawasi oleh Otoritas Jasa Keuangan dan Bank Indonesia. BCA Digital merupakan peserta penjaminan LPS. Terkait dokumen tersebut sebagai bentuk verifikasi data dan pengamanan yang dilakukan dalam melakukan pembukaan rekening.",instal akungeri banget foto pegang ktp takut data salah pinjolcari aman deh saran ku pegang ktp gitu tuh kaya gitu,"['instal', 'akungeri', 'banget', 'foto', 'pegang', 'ktp', 'takut', 'data', 'salah', 'pinjolcari', 'aman', 'deh', 'saran', 'ku', 'pegang', 'ktp', 'gitu', 'tuh', 'kaya', 'gitu']"
"registrasi nya susah banget, masa pengenalan wajah gabisa, padahal disuru kamera hp ga goyang, ini hp udah taro di tripod gimana bisa goyang lagi? tolong ya admin di perbaiki lagi, terimakasih",1,2025-05-27 04:23:13,2,"Hai, Kak Alyaula. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik kebutuhan perbankan Kakak. Mohon pastikan perangkat sudah update versi terbaru dan jika ada hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam). 😊",registrasi susah banget kenal wajah gabisa disuru kamera hp goyang hp taro tripod goyang tolong admin baik terimakasih,"['registrasi', 'susah', 'banget', 'kenal', 'wajah', 'gabisa', 'disuru', 'kamera', 'hp', 'goyang', 'hp', 'taro', 'tripod', 'goyang', 'tolong', 'admin', 'baik', 'terimakasih']"
lebay amat mau daftar harus vc vc segala,1,2025-05-26 21:42:23,0,"Hai, Kak Ragil. Maaf atas ketidaknyamanannya. Ketika proses pembukaan rekening blu Kakak akan diarahkan untuk menghubungi layanan video call untuk proses verifikasi data. Hal tersebut sudah menjadi ketentuan dari BCA Digital ya Kak.",lebay daftar vc vc,"['lebay', 'daftar', 'vc', 'vc']"
cepat akurat,5,2025-05-26 20:56:09,0,"Hai, Kak Uma. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",cepat akurat,"['cepat', 'akurat']"
isi saldo dr mybca 2500?,2,2025-05-26 17:33:21,0,"Hai, Kakak. Maaf atas ketidaknyamanannya. Terkait adanya biaya transfer BI-FAST dari BCA ke blu adalah ketentuan dari BCA. Namun tenang saja Kakak masih bebas biaya transfer BI-FAST dari blu ke BCA ya. blu by BCA Digital adalah anak perusahaan dari Bank BCA, tetapi sudah berbeda bank. Masing-masing mempunyai kebijakan yang berbeda Kak.",isi saldo mybca,"['isi', 'saldo', 'mybca']"
aplikasi Ter the best yang pernah saya miliki,5,2025-05-26 13:09:41,0,"Hai, Kak Handi. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",ter the best milik,"['ter', 'the', 'best', 'milik']"
Aplikasi perbankan paling Bagus sejauh ini 👍,5,2025-05-26 10:02:19,0,"Hai, Kak Rama. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",perban bagus,"['perban', 'bagus']"
"membantu sekali fitur2 yg ada, simpel penggunaannya dan mempermudah transaksi",5,2025-05-26 08:57:14,0,"Hai, Kak Vetra. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",bantu fitur simpel guna mudah transaksi,"['bantu', 'fitur', 'simpel', 'guna', 'mudah', 'transaksi']"
memudahkan,5,2025-05-26 08:38:16,0,"Hai, Kak Enes. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",mudah,['mudah']
bagus,5,2025-05-26 05:30:36,0,"Hai, Kak Anton. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",bagus,['bagus']
"APLIKASI GA GUNA, RIBET",5,2025-05-25 22:47:33,0,"Hai, Kak UBAY. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik untuk kebutuhan perbankan Kakak. Mohon pastikan perangkat sudah update versi terbaru dan jika ada hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam). 😊",ribet,['ribet']
"fitur semuanya bagus, dan keamanan tak di ragukan lagi, tapi tolong BLU by BCA Digital aplikasi nya terlalu lemot buat handphone saya tolong aplikasi nya di sempurnakan lagi itu aja sih keluhan dari saya selain itu semuanya bagus.",5,2025-05-25 21:43:36,29,"Hai, Kak Teguh. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",fitur bagus aman ragu tolong by lambat handphone tolong sempurna sih keluh bagus,"['fitur', 'bagus', 'aman', 'ragu', 'tolong', 'by', 'lambat', 'handphone', 'tolong', 'sempurna', 'sih', 'keluh', 'bagus']"
mempermudah segala pembayaran,5,2025-05-25 19:24:37,0,"Hai, Kak Shiella. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",mudah bayar,"['mudah', 'bayar']"
Sekarang sudah bisa transfer ke Shopee. nabung di Blu tanpa potongan admin tiap bulan. mantab!,5,2025-05-25 18:41:38,1,"Hai, Kak Putra. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",transfer shope nabung potong admin bagus,"['transfer', 'shope', 'nabung', 'potong', 'admin', 'bagus']"
suka simpan uang tabungan di blu bca bank top 😎😎😎 transfer cepat blu bca❤️,5,2025-05-25 17:33:50,0,"Hai, Kakak. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",suka simpan uang tabung bagus transfer cepat,"['suka', 'simpan', 'uang', 'tabung', 'bagus', 'transfer', 'cepat']"
Kenapa cek saldo dan topup Flazz ga muncul²,2,2025-05-25 10:19:02,0,"Hai, Kak Zainul. Maaf atas ketidaknyamanannya. Terkait kendala tersebut boleh kirimkan gambar kendalanya ke X @haloblu atau email haloblu@bcadigital.co.id agar kami bisa bantu lebih lanjut ya.",cek saldo topup flaz muncul,"['cek', 'saldo', 'topup', 'flaz', 'muncul']"
"overall 6 bulan pakai Blu bagus dan transaksi lancar. tapi menurutku perlu diupdate UI/UX Designnya supaya tampilannya lebih menarik jadi ga monoton dan dilengkapi lagi fitur-fiturnya untuk ewallet, pembayaran lainnya",4,2025-05-24 20:22:11,0,"Hai, Kak Hanifah. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",overal pakai bagus transaksi lancar turut diupdate uiux designya tampil tarik monoton lengkap fiturfiturnya ewalet bayar,"['overal', 'pakai', 'bagus', 'transaksi', 'lancar', 'turut', 'diupdate', 'uiux', 'designya', 'tampil', 'tarik', 'monoton', 'lengkap', 'fiturfiturnya', 'ewalet', 'bayar']"
"kenapa UI/UX nya kaya berat banget ga smooth, kebanyakan loading, ngga dibikin simple aja kaya bank digital lain? jadi sat set gitu, buka ini loading buka itu loading, saya yakin banyak yang ngerasain juga ga cuma saya🙏🏼🙏🏼",3,2025-05-24 16:01:43,1,"Hai, Kak Figo. Maaf atas ketidaknyamanannya. Kami akan selalu terus memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu. Terkait kendala tersebut pastikan Kakak menggunakan aplikasi blu versi terbaru, pastikan setting waktu di handphone menjadi otomatis, jaringan internet lancar dan stabil serta tidak menggunakan jaringan WiFi.",uiux kaya berat banget smoth banyak loading bikin simple kaya sat set gitu buka loading buka loading ngerasain,"['uiux', 'kaya', 'berat', 'banget', 'smoth', 'banyak', 'loading', 'bikin', 'simple', 'kaya', 'sat', 'set', 'gitu', 'buka', 'loading', 'buka', 'loading', 'ngerasain']"
"makasih blue membuat saya menjadi ringan dalam transaksi,semoga kedepannya bisa terus mempermudah proses penarikan atau transaksi",5,2025-05-24 15:26:35,0,"Hai, Kak Ghulaman Zakiyya. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",terima kasih blue ringan transaksisemoga depan mudah proses tari transaksi,"['terima', 'kasih', 'blue', 'ringan', 'transaksisemoga', 'depan', 'mudah', 'proses', 'tari', 'transaksi']"
ok bnget app blu by bca memudahkan transaksi di setiap saat mantap banget 👍,5,2025-05-24 14:24:40,0,"Hai, Kak Yadi. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",ok bnget by mudah transaksi bagus banget,"['ok', 'bnget', 'by', 'mudah', 'transaksi', 'bagus', 'banget']"
"Mari Kita Nabung.. dimulai dari sedikit, semakin banyak numpuk deh sebukit. Bersama blu by BCA, kita Bisa !",5,2025-05-24 14:20:23,0,"Hai, Kak Sani Fitri. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",mari nabung numpuk deh bukit by,"['mari', 'nabung', 'numpuk', 'deh', 'bukit', 'by']"
ga bisa aktifin screen lock ga jelas apk,1,2025-05-24 14:01:20,0,"Hai, Kak Diaz Rambouji. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik kebutuhan perbankan Kakak. Terkait kendala tersebut boleh kirimkan gambar kendalanya ke X @haloblu atau email haloblu@bcadigital.co.id agar kami bisa bantu lebih lanjut ya.",aktifin scren lock,"['aktifin', 'scren', 'lock']"
"aplikasinya agak berat di hp sy xperia xz2 , kalau mau bayar pake qris mungkin bisa buat shortcutnya dan ga perlu pake pin cukup sidik jari aja biar satset",4,2025-05-24 13:17:38,0,"Hai, Kak Candra. Maaf atas ketidaknyamanannya. Terima kasih atas saran dan masukan yang diberikan, kami akan selalu memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu. Jika ada hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",aplikasi berat hp xperia xz bayar pakai qris shortcutnya pakai pin sidik jari biar satset,"['aplikasi', 'berat', 'hp', 'xperia', 'xz', 'bayar', 'pakai', 'qris', 'shortcutnya', 'pakai', 'pin', 'sidik', 'jari', 'biar', 'satset']"
daftar foto selvi sulit ga bisa terus saya ga faham,1,2025-05-24 12:57:41,0,"Hai, Kak Mukmin. Maaf atas ketidaknyamanannya. Terkait kendala yang dialami mohon kesediaannya untuk menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam). 😊",daftar foto selvi sulit faham,"['daftar', 'foto', 'selvi', 'sulit', 'faham']"
"sulitnya registrasi, KTP Saya fotonya memang buram , dan saya kulitnya hitam , aplikasi nya bilang terlalu gelap harus di Cahaya yg terang , itu gimana maksud nya. ngaledek saya ya , register gagal terus karena foto ktp nya gelap , jelek aplikasi nya",1,2025-05-24 12:57:04,0,"Hai, Kakak. Maaf atas ketidaknyamanannya. Terkait kendala yang dialami mohon kesediaannya untuk menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam). 😊",sulit registrasi ktp foto buram kulit hitam bilang gelap cahaya terang maksud ngaledek register gagal foto ktp gelap buruk,"['sulit', 'registrasi', 'ktp', 'foto', 'buram', 'kulit', 'hitam', 'bilang', 'gelap', 'cahaya', 'terang', 'maksud', 'ngaledek', 'register', 'gagal', 'foto', 'ktp', 'gelap', 'buruk']"
oke lah,5,2025-05-24 11:59:26,0,"Hai, Kak Abiyasa. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",oke,['oke']
apk sampah,1,2025-05-24 11:52:38,0,"Hai, Kak Said. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik kebutuhan perbankan Kakak. Jika Kakak mengalami kendala boleh kirimkan gambar kendalanya ke X @haloblu atau email haloblu@bcadigital.co.id agar kami bisa bantu lebih lanjut ya.",buruk,['buruk']
